property_type_id,propertyType,zoning,bedrooms,bathrooms,squareFootage,lotSize,ownerOccupied
1,Single Family,Z372,3.0,1.5,1236.0,6480.0,1.0
2,Single Family,Unknown,1.0,1.0,836.0,16410.0,0.0
3,Duplex-Triplex,MD,4.0,2.0,1260.0,5227.0,0.0
4,Single Family,Unknown,4.0,2.5,1787.0,9500.0,1.0
5,Single Family,WR,3.0,3.0,1944.0,30056.0,0.0
6,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0
7,Condo,Unknown,1.0,1.5,729.0,0.0,0.0
8,Single Family,R-1A,4.0,1.5,1500.0,39204.0,1.0
9,Duplex-Triplex,RP3,3.0,2.0,1249.0,2606.0,1.0
10,Single Family,Unknown,3.0,2.0,1024.0,6752.0,1.0
11,Single Family,01-SINGLE FAMILY,3.0,2.0,1296.0,12000.0,1.0
12,Single Family,RC(RES CONSERVATION 1DU/5,5.0,4.0,3728.0,217800.0,1.0
13,Apartment,Unknown,1.0,1.0,756.0,0.0,0.0
14,Condo,R31,2.0,2.0,1460.0,1460.0,1.0
15,Single Family,R-7,4.0,2.0,1945.0,7845.0,1.0
16,Single Family,Z298,3.0,2.0,2250.0,9070.0,1.0
17,Manufactured,Unknown,2.0,1.0,720.0,75.0,0.0
18,Apartment,Unknown,3.0,3.0,1440.0,0.0,0.0
19,Single Family,Unknown,3.0,1.0,948.0,43560.0,0.0
20,Single Family,LCR1YY,3.0,2.0,1336.0,5812.0,1.0
21,Single Family,Unknown,2.0,1.0,528.0,6400.0,1.0
22,Single Family,Unknown,3.0,2.0,1600.0,6264.0,1.0
23,Single Family,R2,0.0,0.0,1008.0,20038.0,1.0
24,Single Family,RR,4.0,2.5,2928.0,41818.0,1.0
25,Single Family,Unknown,3.0,2.0,2178.0,11813.0,0.0
26,Condo,PLANNED UNIT DEVELOPMENT,1.0,1.0,600.0,436.0,0.0
27,Condo,R5/CR,2.0,2.0,1137.0,0.0,0.0
28,Apartment,E-MU-2.5,8.0,1.0,4503.0,7810.0,0.0
29,Single Family,Unknown,4.0,4.5,4094.0,91912.0,0.0
30,Single Family,SNGL-FAM-RES,3.0,2.0,2012.0,5662.0,1.0
31,Single Family,Unknown,4.0,3.0,3266.0,109771.0,1.0
32,Single Family,X,3.0,2.5,2248.0,21780.0,1.0
33,Single Family,A1100,4.0,4.0,3854.0,18730.0,1.0
34,Single Family,Unknown,3.0,1.0,1008.0,8712.0,0.0
35,Single Family,Unknown,3.0,2.0,1799.0,10454.0,1.0
36,Single Family,Unknown,6.0,4.5,2448.0,8712.0,0.0
37,Single Family,WP_SR,3.0,1.0,1264.0,18295.0,1.0
38,Single Family,R-1 SINGLE FAMILY,3.0,1.5,1391.0,22390.0,1.0
39,Single Family,RS-8,2.0,1.0,1128.0,8400.0,0.0
40,Condo,Unknown,2.0,2.0,1385.0,43560.0,0.0
41,Single Family,R-1-6,5.0,4.0,1740.0,22651.0,1.0
42,Single Family,Unknown,4.0,3.0,2051.0,9208.0,1.0
43,Apartment,Unknown,2.0,1.0,3167.0,3990.0,0.0
44,Single Family,A1,0.0,0.0,0.0,122839.0,0.0
45,Condo,R-2,0.0,1.0,658.0,0.0,0.0
46,Single Family,Unknown,4.0,3.0,1724.0,14375.0,1.0
47,Single Family,Unknown,3.0,1.0,1800.0,99999.0,0.0
48,Single Family,R 9,3.0,2.0,1166.0,10672.0,1.0
49,Single Family,"0100:SINGLE FAM,GENERAL",4.0,3.0,1998.0,6650.0,1.0
50,Single Family,Unknown,2.0,1.0,962.0,3125.0,1.0
51,Single Family,Unknown,3.0,3.0,1663.0,4791.0,1.0
52,Single Family,R-4.5,3.0,2.0,1689.0,10019.0,1.0
53,Single Family,RS-6,3.0,2.0,1877.0,7841.0,1.0
54,Single Family,PAD,0.0,3.0,1854.0,3262.0,1.0
55,Single Family,Unknown,0.0,0.0,0.0,3751.0,0.0
56,Single Family,Unknown,2.0,2.0,1596.0,2614.0,0.0
57,Single Family,Unknown,3.0,1.0,850.0,5490.0,1.0
58,Condo,RM1,3.0,2.0,2090.0,1280.0,1.0
59,Duplex-Triplex,Unknown,6.0,3.0,4794.0,4650.0,1.0
60,Single Family,Unknown,3.0,2.0,1490.0,6534.0,1.0
61,Single Family,Unknown,2.0,1.0,988.0,7841.0,0.0
62,Single Family,Unknown,2.0,1.0,1094.0,3000.0,0.0
63,Single Family,R1,3.0,2.0,1652.0,7405.0,1.0
64,Single Family,R-8,3.0,2.0,1555.0,11413.0,1.0
65,Single Family,PAD-MD,3.0,4.0,2330.0,10354.0,0.0
66,Single Family,RS-LD,3.0,2.0,2040.0,0.0,1.0
67,Single Family,Unknown,4.0,4.5,2800.0,0.0,0.0
68,Single Family,Unknown,2.0,1.0,1056.0,56628.0,1.0
69,Single Family,Unknown,4.0,2.0,1322.0,4975.0,1.0
70,Single Family,Unknown,4.0,4.5,3469.0,1463.0,1.0
71,Townhouse,PMUD-PLANNED MIXED USE DE,4.0,3.5,2160.0,1307.0,0.0
72,Single Family,Unknown,4.0,2.0,1697.0,9845.0,0.0
73,Single Family,Unknown,3.0,1.0,2400.0,28314.0,0.0
74,Single Family,Unknown,3.0,1.0,1188.0,30168.0,1.0
75,Single Family,Unknown,3.0,1.5,1166.0,8712.0,1.0
76,Single Family,Unknown,3.0,2.0,1404.0,18962.0,1.0
77,Single Family,Unknown,3.0,2.0,1584.0,43996.0,0.0
78,Single Family,Unknown,1.0,0.0,1758.0,30056.0,1.0
79,Duplex-Triplex,Unknown,0.0,0.0,1982.0,2500.0,1.0
80,Land,Unknown,0.0,0.0,0.0,522720.0,0.0
81,Land,Unknown,0.0,0.0,0.0,27007.0,0.0
82,Single Family,R4,2.0,1.0,1340.0,6850.0,1.0
